Matrix name, Dimension, nnz, MaxNonzerosPerRow, MinNonzerosPerRow, AvgNonzerosPerRow, AbsoluteNonZeroSum, symmetricity, AvgDiagDist, NonZeroPatternSymmetryV1, Trace, AbsoluteTrace, OneNorm, InfinityNorm, FrobeniusNorm, SymmetricInfinityNorm, SymmetricFrobeniusNorm, AntiSymmetricInfinityNorm, AntiSymmetricFrobeniusNorm, DiagonalAverage, RowDiagonalDominance, ColDiagonalDominance, RowVariance, ColumnVariance, lowerBandwidth, upperBandwidth, DiagonalMean, DiagonalSign," DiagonalNonZeros ", Eigen Value from Power method, Smallest eigen value from double power method, Condn No. from lamda_max/lamda_min
494_bus.mat,494,1666,10,2,3.37247,445300.6791,1,81.5,1,223749.6674,223749.6674,40015.42248,40015.42248,57513.15962,40015.42248,57513.15962,0,0,452.934549,1,1,1.076764,9986.148979,428,428,452.934549,-1,"494",30005.14176,6.752322,4443.677665
662_bus.mat,662,2474,10,2,3.73716,147443.344,1,168.666667,1,74426.00657,74426.00657,4032.25803,4032.25803,7360.034296,4032.25803,7360.034296,0,0,112.425992,1,1,1.945713,3059.6622,335,335,112.425992,-1,"662",4008.105177,3.522018,1138.013708
685_bus.mat,685,3249,13,2,4.743066,397546.8362,1,4,1,211735.2454,211735.2454,26447.35498,26447.35498,40139.09283,26447.35498,40139.09283,0,0,309.102548,1,1,1.114716,1001060.657,550,550,309.102548,-1,"685",26186.48486,30.837782,849.16889
adder_dcop_01.mat,1813,11156,1310,1,6.153337,18.623795,0,618.25,0,0.206396,0.206396,1.075141,1.10685,4.242802,1.086181,4.242797,0.042266,0.006482,0.000114,0,0,1,1,1763,1801,0.000114,-1,"1801",1,-0.976473,1.024094
adder_dcop_02.mat,1813,11246,1310,1,6.202978,23.565497,0,618.25,0,2.518173,2.518173,1.869179,1.841591,4.263426,1.850842,4.263353,0.117562,0.025092,0.001389,0,0,1,1,1763,1801,0.001389,-1,"1801",1.256264,-0.545078,2.30474
adder_dcop_03.mat,1813,11148,1310,1,6.148924,34.466458,0,618.25,0,12.170786,12.170786,3.866731,3.867343,6.909749,3.867012,6.909684,0.13848,0.030082,0.006713,0,0,1,1,1763,1801,0.006713,-1,"1801",3.866524,-0.659228,5.865231
adder_dcop_04.mat,1813,11107,1310,1,6.12631,29.778403,0,618.25,0,7.069041,7.069041,2.957396,2.99671,4.579824,2.970288,4.579728,0.101324,0.0296,0.003899,0,0,1.000001,1,1763,1800,0.003899,-1,"1801",1.374881,-0.987274,1.392604
adder_dcop_05.mat,1813,11097,1310,1,6.120794,43.244593,0,618.25,0,15.95761,15.95761,7.713373,7.740015,7.469555,7.721093,7.469502,0.081963,0.028164,0.008802,0,0,1.000004,1,1763,1800,0.008802,-1,"1801",5.064498,0.000248,20445.61058
adder_dcop_06.mat,1813,11224,1310,1,6.190844,33.346706,0,618.25,0,9.301042,9.301042,4.229705,4.284418,4.931942,4.255664,4.931848,0.073877,0.030356,0.00513,0,0,1.000001,1,1763,1801,0.00513,-1,"1801",1.875168,-0.91911,2.0402
adder_dcop_07.mat,1813,11226,1310,1,6.191947,39.104352,0,618.25,0,11.47058,11.47058,7.749682,7.789352,6.945972,7.768252,6.945909,0.076131,0.029616,0.006327,0,0,1.000006,1,1763,1801,0.006327,-1,"1801",5.588943,0.000145,38516.3291
adder_dcop_08.mat,1813,11242,1310,1,6.200772,32.340206,0,618.25,0,7.818406,7.818406,4.683554,4.722733,4.883395,4.700843,4.883328,0.078942,0.025654,0.004312,0,0,1.000002,1,1763,1801,0.004312,-1,"1801",2.652678,5.716278,0.464057
adder_dcop_09.mat,1813,11239,1310,1,6.199117,93.980285,0,618.25,0,44.389694,44.389694,29.867495,29.9004,23.235203,29.882509,23.235193,0.057634,0.021529,0.024484,0,0,1.000088,1,1763,1801,0.024484,-1,"1801",19.851003,0.002309,8597.868321
